R1,arm,band,entry_bid,entry_delay_bars,entry_fill,exit_bid,exit_fill,ficha,level_slip,margin1,net1,net1_con_coste,pos_id,reason,same_bar,sid,side,side_l,spread,t_exit,t_in,t_in_exec,t_out
3347051.0000000647,relief0.00-u0,0.5,5223.72,0,5223.86,5175.488454227637,5175.96,F2,True,4892144.89,4485834.999999966,4464763.749999966,S6-K2P0|F2|1771883100|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1771886255.708,1771883100,1771884000.0,1771885800
3347051.0000000647,relief0.00-u0,0.5,5223.72,0,5223.86,5175.488454227637,5175.96,F3,True,4892144.89,4485834.999999966,4464763.749999966,S6-K2P0|F3|1771883100|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1771886255.708,1771883100,1771884000.0,1771885800
4168361.5000001057,relief0.00-u0,0.5,5182.45,0,5182.96,5162.337316787679,5161.42,F1,True,4853842.04,-2017220.9999999965,-2038292.2499999965,S6-K2P0|F1|1771901100|LONG,EXIT_SL_RAISED,False,S6-K2P0,LONG,L,0.5,1771904106.341,1771901100,1771902000.0,1771903800
4168361.5000001057,relief0.00-u0,0.5,5182.45,0,5182.96,5162.337316787679,5161.42,F2,True,4853842.04,-2017220.9999999965,-2038292.2499999965,S6-K2P0|F2|1771901100|LONG,EXIT_SL_RAISED,False,S6-K2P0,LONG,L,0.5,1771904106.341,1771901100,1771902000.0,1771903800
4168361.5000001057,relief0.00-u0,0.5,5182.45,0,5182.96,5162.337316787679,5161.42,F3,True,4853842.04,-2017220.9999999965,-2038292.2499999965,S6-K2P0|F3|1771901100|LONG,EXIT_SL_RAISED,False,S6-K2P0,LONG,L,0.5,1771904106.341,1771901100,1771902000.0,1771903800
8864440.750000061,relief0.00-u0,0.5,5135.6,0,5135.6,5146.52,5147.02,F1,False,4809489.4,-1069483.0000000068,-1090554.2500000068,S6-K2P0|F1|1771963200|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771966800,1771963200,1771964100.0,1771965900
8864440.750000061,relief0.00-u0,0.5,5135.6,0,5135.6,5146.52,5147.02,F2,False,4809489.4,-1069483.0000000068,-1090554.2500000068,S6-K2P0|F2|1771963200|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771966800,1771963200,1771964100.0,1771965900
8864440.750000061,relief0.00-u0,0.5,5135.6,0,5135.6,5146.52,5147.02,F3,False,4809489.4,-1069483.0000000068,-1090554.2500000068,S6-K2P0|F3|1771963200|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771966800,1771963200,1771964100.0,1771965900
4295725.500000245,relief0.00-u0,0.5,5152.15,0,5152.65,5189.57,5189.57,F1,False,4825456.725,3457558.000000007,3436486.750000007,S6-K2P0|F1|1771969500|LONG,EXIT_TRAIL,True,S6-K2P0,LONG,L,0.5,1771975800,1771969500,1771970400.0,1771974900
4295725.500000245,relief0.00-u0,0.5,5152.15,0,5152.65,5189.57,5189.57,F2,False,4825456.725,3457558.000000007,3436486.750000007,S6-K2P0|F2|1771969500|LONG,EXIT_TRAIL,True,S6-K2P0,LONG,L,0.5,1771975800,1771969500,1771970400.0,1771974900
4295725.500000245,relief0.00-u0,0.5,5152.15,0,5152.65,5189.57,5189.57,F3,False,4825456.725,3457558.000000007,3436486.750000007,S6-K2P0|F3|1771969500|LONG,EXIT_TRAIL,True,S6-K2P0,LONG,L,0.5,1771975800,1771969500,1771970400.0,1771974900
2632969.749999809,relief0.00-u0,0.5,5188.29,0,5188.74,5189.877565539269,5189.76,F1,True,4859255.01,95523.00000004089,74451.75000004089,S6-K2P0|F1|1771984800|LONG,EXIT_SL_RAISED,False,S6-K2P0,LONG,L,0.5,1771988865.193,1771984800,1771985700.0,1771988400
2632969.749999809,relief0.00-u0,0.5,5188.29,0,5188.74,5189.877565539269,5189.76,F2,True,4859255.01,95523.00000004089,74451.75000004089,S6-K2P0|F2|1771984800|LONG,EXIT_SL_RAISED,False,S6-K2P0,LONG,L,0.5,1771988865.193,1771984800,1771985700.0,1771988400
2632969.749999809,relief0.00-u0,0.5,5188.29,0,5188.74,5189.877565539269,5189.76,F3,True,4859255.01,95523.00000004089,74451.75000004089,S6-K2P0|F3|1771984800|LONG,EXIT_SL_RAISED,False,S6-K2P0,LONG,L,0.5,1771988865.193,1771984800,1771985700.0,1771988400
5589968.500000133,relief0.00-u0,0.5,5162.89,0,5162.97,5180.476518157455,5180.65,F1,True,4835121.405,-1655731.999999942,-1676803.249999942,S6-K2P0|F1|1772052300|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1772054663.694,1772052300,1772053200.0,1772054100
5589968.500000133,relief0.00-u0,0.5,5162.89,0,5162.97,5180.476518157455,5180.65,F2,True,4835121.405,-1655731.999999942,-1676803.249999942,S6-K2P0|F2|1772052300|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1772054663.694,1772052300,1772053200.0,1772054100
5589968.500000133,relief0.00-u0,0.5,5162.89,0,5162.97,5180.476518157455,5180.65,F3,True,4835121.405,-1655731.999999942,-1676803.249999942,S6-K2P0|F3|1772052300|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1772054663.694,1772052300,1772053200.0,1772054100
6052131.25,relief0.00-u0,0.5,5184.89,0,5185.62,5189.35,5189.35,F1,False,4856333.13,349314.5000000443,328243.2500000443,S6-K2P0|F1|1772054100|LONG,EXIT_TRAIL,True,S6-K2P0,LONG,L,0.5,1772059500,1772054100,1772055000.0,1772058600
